,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
495,Enfield Thunderbird 500,2015," Bangalore, Karnataka",499,Two,31000,150000,2022-08-28,Royal Enfield
496,Gixxer ABS,2017," Pune, Maharashtra",155,Single Owner,31945,75000,2022-08-22,Suzuki
498,Avenger Cruise 220,2018," Ludhiana, Punjab",220,Single Owner,7500,65000,2022-08-22,Bajaj
499,Apache RTR 200 4V,2018," Noida, Uttar Pradesh",197,Single Owner,16000,70000,2022-05-09,TVS
500,Pulsar 150 DTSi,2012," Pune, Maharashtra",150,Single Owner,21500,43000,2022-08-22,Bajaj
501,42 Dual Channel ABS AllStar Black,2021, Bihar,293,Single Owner,6300,150000,2022-08-22,Jawa
502,Apache RTR 160,2016," New Delhi, Delhi",160,Single Owner,59000,40000,2022-03-09,TVS
503,TNT 600 GT,2016," Mumbai, Maharashtra",600,Three,11600,395000,2022-03-09,Benelli
504,Pulsar RS 200 ABS,2017," Mumbai, Maharashtra",200,Single Owner,12000,120000,2022-02-09,Bajaj
505,Enfield Thunderbird 350,2016," Pune, Maharashtra",346,Single Owner,40000,115000,2022-02-09,Royal Enfield
507,Pulsar 200 NS ABS,2018," Mumbai, Maharashtra",199,Single Owner,8200,73000,2022-02-09,Bajaj
508,Apache RTR 160 4V,2020," Mysore, Karnataka",160,Single Owner,42000,85000,2022-02-09,TVS
509,Enfield Himalayan BS VI,2020," Kottarakkara, Kollam, Kerala",411,Single Owner,16100,200000,2022-02-09,Royal Enfield
511,FZ-S,2019," Bangalore, Karnataka",153,Single Owner,17155,97500,2022-02-09,Yamaha
512,Enfield Classic 350,2019," Chennai, Tamil Nadu",346,Single Owner,24800,150000,2022-08-27,Royal Enfield
513,Xtreme 160R BS6,2021," Navi Mumbai, Maharashtra",149,Single Owner,9500,95000,2022-08-22,Hero
514,Apache RTR 200 4V ABS Race Edition 2.0,2019," Rohtak, Haryana",200,Single Owner,13365,100000,2022-08-22,TVS
515,Enfield Classic 350,2016," Gurgaon, Haryana",346,Single Owner,23000,125000,2022-08-22,Royal Enfield
516,Enfield Classic 500,2015," Mumbai, Maharashtra",499,Single Owner,33045,180000,2022-08-22,Royal Enfield
517,Gixxer SF Fi,2018," Mumbai, Maharashtra",155,Single Owner,9693,80000,2022-08-22,Suzuki
518,Avenger Street 150,2016," Pune, Maharashtra",150,Single Owner,30000,60000,2022-08-22,Bajaj
519,42 Dual Channel ABS AllStar Black,2019," Chennai, Tamil Nadu",293,Single Owner,1450,190000,2022-08-19,Jawa
520,Enfield Continental GT 650 Twin,2021," Meerut, Uttar Pradesh",650,Single Owner,2000,310000,2022-08-19,Royal Enfield
521,CBZ Xtreme,2013," Bhagalpur, Bihar",150,Single Owner,59000,50000,2022-08-20,Hero
